BHK,Rent,Size,Area Type,City,Furnishing Status,Bathroom,Point of Contact
2,10000,1100,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,20000,800,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
2,17000,1000,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
2,10000,800,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,7500,850,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,7000,600,Super Area,Kolkata,Unfurnished,2,Contact Owner
2,10000,700,Super Area,Kolkata,Unfurnished,2,Contact Agent
1,5000,250,Super Area,Kolkata,Unfurnished,1,Contact Agent
2,26000,800,Carpet Area,Kolkata,Unfurnished,2,Contact Agent
2,10000,1000,Carpet Area,Kolkata,Semi-Furnished,2,Contact Owner
3,25000,1200,Carpet Area,Kolkata,Semi-Furnished,2,Contact Agent
1,5000,400,Carpet Area,Kolkata,Unfurnished,1,Contact Agent
1,6500,250,Carpet Area,Kolkata,Furnished,1,Contact Owner
1,5500,375,Carpet Area,Kolkata,Unfurnished,1,Contact Agent
3,8500,900,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
3,40000,1286,Carpet Area,Kolkata,Furnished,2,Contact Owner
2,6000,600,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
2,10000,800,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,11000,2000,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,6000,660,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,7900,650,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,9000,400,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
1,4000,300,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
3,6500,1600,Super Area,Kolkata,Unfurnished,1,Contact Owner
1,8000,400,Super Area,Kolkata,Semi-Furnished,1,Contact Agent
2,7000,1000,Super Area,Kolkata,Unfurnished,1,Contact Owner
1,5300,355,Carpet Area,Kolkata,Semi-Furnished,1,Contact Agent
2,6000,1000,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
2,8500,800,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,12500,850,Super Area,Kolkata,Unfurnished,2,Contact Owner
1,7500,350,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,15000,900,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
2,6000,550,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
2,5000,500,Carpet Area,Kolkata,Unfurnished,2,Contact Owner
3,22000,1100,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,15000,850,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
2,12500,800,Carpet Area,Kolkata,Unfurnished,1,Contact Agent
2,7000,630,Carpet Area,Kolkata,Unfurnished,1,Contact Owner
2,21000,900,Carpet Area,Kolkata,Semi-Furnished,2,Contact Owner
1,10000,270,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
2,7200,630,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
3,12000,1500,Carpet Area,Kolkata,Furnished,2,Contact Owner
1,5000,600,Super Area,Kolkata,Unfurnished,1,Contact Owner
2,8500,700,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
1,6000,300,Super Area,Kolkata,Semi-Furnished,1,Contact Owner
2,10000,1300,Super Area,Kolkata,Semi-Furnished,2,Contact Owner
2,4600,400,Carpet Area,Kolkata,Semi-Furnished,1,Contact Owner
