BHK,Rent,Size,Floor,Area Type,City,Furnishing Status,Bathroom
2,10000,1100,Ground out of 2,Super Area,Kolkata,Unfurnished,2
2,20000,800,1 out of 3,Super Area,Kolkata,Semi-Furnished,1
2,17000,1000,1 out of 3,Super Area,Kolkata,Semi-Furnished,1
2,10000,800,1 out of 2,Super Area,Kolkata,Unfurnished,1
2,7500,850,1 out of 2,Carpet Area,Kolkata,Unfurnished,1
2,7000,600,Ground out of 1,Super Area,Kolkata,Unfurnished,2
2,10000,700,Ground out of 4,Super Area,Kolkata,Unfurnished,2
1,5000,250,1 out of 2,Super Area,Kolkata,Unfurnished,1
2,26000,800,1 out of 2,Carpet Area,Kolkata,Unfurnished,2
2,10000,1000,1 out of 3,Carpet Area,Kolkata,Semi-Furnished,2
3,25000,1200,1 out of 4,Carpet Area,Kolkata,Semi-Furnished,2
1,5000,400,1 out of 1,Carpet Area,Kolkata,Unfurnished,1
1,6500,250,1 out of 4,Carpet Area,Kolkata,Furnished,1
1,5500,375,1 out of 2,Carpet Area,Kolkata,Unfurnished,1
3,8500,900,Ground out of 2,Carpet Area,Kolkata,Unfurnished,2
3,40000,1286,1 out of 1,Carpet Area,Kolkata,Furnished,2
2,6000,600,1 out of 2,Super Area,Kolkata,Semi-Furnished,1
2,10000,800,Ground out of 2,Super Area,Kolkata,Unfurnished,1
2,11000,2000,Ground out of 3,Carpet Area,Kolkata,Unfurnished,1
2,6000,660,1 out of 2,Super Area,Kolkata,Unfurnished,1
2,7900,650,1 out of 2,Carpet Area,Kolkata,Unfurnished,1
2,9000,400,2 out of 3,Carpet Area,Kolkata,Unfurnished,2
1,4000,300,Ground out of 4,Carpet Area,Kolkata,Unfurnished,1
3,6500,1600,Ground out of 2,Super Area,Kolkata,Unfurnished,1
1,8000,400,1 out of 2,Super Area,Kolkata,Semi-Furnished,1
2,7000,1000,1 out of 1,Super Area,Kolkata,Unfurnished,1
1,5300,355,1 out of 1,Carpet Area,Kolkata,Semi-Furnished,1
2,6000,1000,Ground out of 3,Super Area,Kolkata,Semi-Furnished,1
2,8500,800,4 out of 5,Super Area,Kolkata,Unfurnished,1
2,12500,850,Ground out of 2,Super Area,Kolkata,Unfurnished,2
1,7500,350,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
2,15000,900,Ground out of 2,Carpet Area,Kolkata,Unfurnished,2
2,6000,550,1 out of 1,Super Area,Kolkata,Semi-Furnished,1
2,5000,500,Ground out of 2,Carpet Area,Kolkata,Unfurnished,2
3,22000,1100,2 out of 3,Carpet Area,Kolkata,Unfurnished,1
2,15000,850,1 out of 2,Carpet Area,Kolkata,Semi-Furnished,1
2,12500,800,2 out of 2,Carpet Area,Kolkata,Unfurnished,1
2,7000,630,Ground out of 3,Carpet Area,Kolkata,Unfurnished,1
2,21000,900,1 out of 2,Carpet Area,Kolkata,Semi-Furnished,2
1,10000,270,1 out of 2,Carpet Area,Kolkata,Semi-Furnished,1
2,7200,630,Ground out of 1,Carpet Area,Kolkata,Semi-Furnished,1
3,12000,1500,Ground out of 2,Carpet Area,Kolkata,Furnished,2
1,5000,600,2 out of 5,Super Area,Kolkata,Unfurnished,1
2,8500,700,4 out of 14,Carpet Area,Kolkata,Semi-Furnished,1
1,6000,300,Ground out of 3,Super Area,Kolkata,Semi-Furnished,1
2,10000,1300,Ground out of 1,Super Area,Kolkata,Semi-Furnished,2
2,4600,400,3 out of 3,Carpet Area,Kolkata,Semi-Furnished,1
2,12000,650,Ground out of 1,Super Area,Kolkata,Unfurnished,2
3,30000,2000,Ground out of 2,Super Area,Kolkata,Semi-Furnished,2
3,15000,1068,Ground out of 3,Super Area,Kolkata,Semi-Furnished,2
1,7500,150,1 out of 1,Super Area,Kolkata,Furnished,1
1,7500,450,2 out of 2,Carpet Area,Kolkata,Unfurnished,1
2,5000,800,Ground out of 1,Carpet Area,Kolkata,Unfurnished,1
2,15000,1000,Ground out of 2,Super Area,Kolkata,Unfurnished,2
2,11000,900,5 out of 5,Super Area,Kolkata,Semi-Furnished,1
1,7000,600,Ground out of 2,Carpet Area,Kolkata,Unfurnished,1
2,6000,1200,1 out of 1,Super Area,Kolkata,Unfurnished,1
2,6000,1200,2 out of 2,Super Area,Kolkata,Semi-Furnished,2
2,7000,650,Ground out of 3,Super Area,Kolkata,Semi-Furnished,2
2,8500,720,4 out of 4,Carpet Area,Kolkata,Semi-Furnished,2
1,5000,300,1 out of 3,Carpet Area,Kolkata,Unfurnished,1
3,30000,1200,Ground out of 2,Carpet Area,Kolkata,Unfurnished,3
